CHOYP_RS2.2.10|m.5562
CHOYP_OLA1.2.2|m.28588
CHOYP_BRAFLDRAFT_273832.1.1|m.56325
CHOYP_RS6.10.12|m.44863
CHOYP_PHUM_PHUM536560.2.2|m.59367
CHOYP_AP2A2.1.1|m.62726
CHOYP_RL17.7.7|m.57535
CHOYP_BRAFLDRAFT_271463.1.1|m.62869
CHOYP_EIF4BB.1.1|m.51066
CHOYP_contig_043238|m.49940
CHOYP_LOC659512.1.4|m.6122
CHOYP_NEMVEDRAFT_V1G204928.2.2|m.27972
CHOYP_KIF2A.2.2|m.62687
CHOYP_RBBP4.1.1|m.62913
CHOYP_FAS2.1.1|m.41201
CHOYP_LOC100376500.1.1|m.36606
CHOYP_METK.1.2|m.3732
CHOYP_AAEL_AAEL009414.1.1|m.639
CHOYP_DPSE_GA16367.1.1|m.22618
CHOYP_DHX8.2.3|m.55114
CHOYP_LOC100376902.1.1|m.20390
CHOYP_ERF1.1.1|m.37539
CHOYP_ISCW_ISCW020550.2.2|m.18099
CHOYP_contig_032576|m.37192
CHOYP_ND4.3.5|m.19536
CHOYP_LOC100376932.1.1|m.12642
CHOYP_contig_022643|m.25874
CHOYP_DNAH7.2.2|m.46648
CHOYP_ISCW_ISCW022189.1.1|m.8227
CHOYP_CADN.2.3|m.19237
CHOYP_LOC656899.1.1|m.15417
CHOYP_LOC100368022.1.1|m.55588
CHOYP_ACSA.1.1|m.61294
CHOYP_BRAFLDRAFT_117858.2.3|m.48274
CHOYP_SELD.1.2|m.8600
K1C10_HUMAN
CHOYP_BRAFLDRAFT_90332.3.4|m.18933
CHOYP_FASN.3.4|m.60278
CHOYP_contig_013738|m.15666
CHOYP_IDHC.1.1|m.7041
CHOYP_LOC100367353.1.1|m.32092
CHOYP_LOC100371236.1.1|m.62865
CHOYP_LOC100893889.2.2|m.64935
CHOYP_ISCW_ISCW008219.1.2|m.46822
CHOYP_ARF2.1.3|m.10738
CHOYP_GBLP.6.7|m.57427
CHOYP_LOC100372340.1.3|m.9116
CHOYP_IARS.1.1|m.27559
CHOYP_CALM.45.50|m.57163
CHOYP_LOC100703423.1.1|m.941
CHOYP_TEKT3.1.1|m.37281
CHOYP_SYCC.1.1|m.11415
CHOYP_USO1.1.11|m.6354
CHOYP_RN45S.4.5|m.43162
CHOYP_CAOG_01521.1.1|m.28103
CHOYP_LOC100907708.1.1|m.16095
CHOYP_CPNE8.2.2|m.58380
CHOYP_PRS7.1.1|m.31825
CHOYP_NFRKB.1.1|m.18028
CHOYP_LOC100372582.1.2|m.8558
CHOYP_NEMVEDRAFT_V1G180651.1.2|m.2808
CHOYP_LOC100533283.1.1|m.54357
CHOYP_LOC100369657.2.2|m.45309
CHOYP_TITIN.6.19|m.31591
CHOYP_LOC100114171.1.1|m.50280
CHOYP_BTKL.1.1|m.55270
CHOYP_ALF.1.3|m.25601
CHOYP_LOC100366799.1.2|m.37253
CHOYP_SMP_087250.2.2|m.25167
CHOYP_BRAFLDRAFT_127105.1.1|m.21922
CHOYP_LOC100372942.1.1|m.31119
CHOYP_SODM.1.2|m.45531
CHOYP_BRAFLDRAFT_130097.1.1|m.12458
CHOYP_LOC100877311.1.1|m.25123
CHOYP_ISCW_ISCW021591.1.1|m.13970
CHOYP_SCP.8.12|m.57173
CHOYP_ERF1.1.1|m.37540
CHOYP_LOC101068378.3.3|m.29759
CHOYP_SC31A.1.2|m.8241
CHOYP_LOC100376457.1.2|m.11537
CHOYP_ATP5H.1.1|m.22927
CHOYP_LOC100372926.1.3|m.29881
CHOYP_TPP2.1.1|m.24017
CHOYP_AL1A1.1.1|m.24832
CHOYP_RS7.6.9|m.44704
CHOYP_LOC100708717.1.1|m.5825
CHOYP_RL10.1.3|m.11695
CHOYP_PCCA.2.2|m.45684
CHOYP_BRAFLDRAFT_103544.1.1|m.38439
CHOYP_PRKAB1B.2.3|m.31228
CHOYP_LOC100160412.2.2|m.56352
CHOYP_BRAFLDRAFT_98992.1.1|m.62815
CHOYP_PROM1.3.3|m.58805
CHOYP_LOC100552337.1.1|m.19614
CHOYP_HUWE1.1.2|m.566
CHOYP_PDHA1.1.1|m.42807
CHOYP_LOC100120123.1.1|m.12979
CHOYP_NACA.2.9|m.11875
CHOYP_LOC100370747.1.1|m.28315
CHOYP_LOC100114247.1.1|m.30717
CHOYP_MGC82409.1.1|m.44657
CHOYP_LOC100372693.1.1|m.16279
CHOYP_LOC100376863.1.1|m.65235
CHOYP_DUOX1.4.4|m.44613
CHOYP_EIF3I.1.1|m.56504
CHOYP_PSD7.1.1|m.19729
CHOYP_LOC100376688.1.8|m.12067
CHOYP_LOC100368259.1.1|m.39485
CHOYP_EPS-8.1.1|m.17522
CHOYP_contig_023710|m.26965
CHOYP_CALUB.2.2|m.58007
CHOYP_ENOPH.3.4|m.51956
CHOYP_INSI2.1.1|m.59456
CHOYP_PAN2.1.1|m.44690
CHOYP_TBA.1.6|m.12217
CHOYP_SYRC.1.2|m.36309
CHOYP_ISCW_ISCW023973.1.2|m.6506
CHOYP_FND2.1.4|m.8542
CHOYP_LOC100370246.2.2|m.45834
CHOYP_RHO1.3.3|m.44337
CHOYP_RENT1.1.1|m.44133
CHOYP_MYG1.1.1|m.4971
CHOYP_TMEM2.1.4|m.6314
CHOYP_LOC575405.1.1|m.18640
CHOYP_ATC1.1.1|m.5160
CHOYP_BRAFLDRAFT_74063.1.5|m.2740
CHOYP_NEMVEDRAFT_V1G188942.1.1|m.6629
CHOYP_LOC575893.1.1|m.62614
CHOYP_DYNLL2.2.2|m.37356
CHOYP_TTC38.1.1|m.27111
CHOYP_EIF3E.1.1|m.27167
CHOYP_NEMVEDRAFT_V1G206950.1.1|m.37574
CHOYP_MEGF6.8.59|m.7292
CHOYP_CATA.3.3|m.21642
CHOYP_BRAFLDRAFT_127065.6.7|m.30727
CHOYP_contig_041958|m.48141
CHOYP_LOC100377856.2.2|m.43339
CHOYP_LOC100903522.1.3|m.2296
CHOYP_KS6A1.1.1|m.38386
CHOYP_LOC100370520.1.1|m.12258
CHOYP_DVIR_GJ21252.1.1|m.10086
CHOYP_PRS8.1.1|m.40757
CHOYP_CAPZB.1.1|m.5762
CHOYP_ADHX.1.1|m.60159
CHOYP_CDC42.1.11|m.324
CHOYP_DSEC_GM19691.1.1|m.30070
CHOYP_BRAFLDRAFT_279923.1.1|m.65663
CHOYP_LOC100862999.1.1|m.11759
CHOYP_LOC100879250.1.1|m.24381
CHOYP_LOC754557.1.2|m.5492
CHOYP_ABCE1.1.2|m.7437
CHOYP_AGAP_AGAP005942.1.3|m.3157
CHOYP_LS14A.2.3|m.10984
CHOYP_LOC659206.1.6|m.3536
CHOYP_MCM2.1.1|m.14569
CHOYP_BRAFLDRAFT_270300.1.1|m.59680
CHOYP_BRAFLDRAFT_86801.1.1|m.27107
CHOYP_HS90A.3.3|m.28300
CHOYP_BRAFLDRAFT_272416.1.1|m.56641
CHOYP_F10A1.2.4|m.11805
CHOYP_PSMC6.1.1|m.13888
CHOYP_ABCE1.2.2|m.42246
CHOYP_PACN2.2.2|m.25018
CHOYP_BRAFLDRAFT_118260.1.1|m.13621
CHOYP_CAT.1.1|m.57038
CHOYP_FAAA.1.1|m.7653
CHOYP_ND1.2.5|m.36938
CHOYP_BRAFLDRAFT_275870.1.1|m.12895
CHOYP_CRE-DIG-1.1.1|m.26794
CHOYP_LOC551931.1.1|m.9934
CHOYP_LOC587700.1.1|m.42534
CHOYP_LOC100646574.1.1|m.55144
CHOYP_DVIR_GJ23521.1.1|m.2757
CHOYP_LOC587610.3.3|m.27175
CHOYP_STIP1.1.2|m.12856
CHOYP_LOC100373484.1.1|m.8540
CHOYP_LOC101439509.1.1|m.65851
CHOYP_GIPC1.1.1|m.60630
CHOYP_LOC663855.2.5|m.747
CHOYP_LOC101169658.1.3|m.18820
CHOYP_PHUM_PHUM596890.1.1|m.10989
CHOYP_DDB1.1.1|m.59135
CHOYP_LOC100370637.1.2|m.12891
