PROTID	sample 27
CHOYP_KIF2A.2.2|m.62687	36
CHOYP_RBBP4.1.1|m.62913	36
CHOYP_FAS2.1.1|m.41201	36
CHOYP_LOC100376500.1.1|m.36606	36
CHOYP_METK.1.2|m.3732	36
CHOYP_AAEL_AAEL009414.1.1|m.639	36
CHOYP_DPSE_GA16367.1.1|m.22618	36
CHOYP_DHX8.2.3|m.55114	36
CHOYP_LOC100376902.1.1|m.20390	36
CHOYP_ERF1.1.1|m.37539	36
CHOYP_ISCW_ISCW020550.2.2|m.18099	36
CHOYP_contig_032576|m.37192	36
CHOYP_ND4.3.5|m.19536	36
CHOYP_LOC100376932.1.1|m.12642	36
CHOYP_contig_022643|m.25874	36
CHOYP_DNAH7.2.2|m.46648	35
CHOYP_ISCW_ISCW022189.1.1|m.8227	35
CHOYP_CADN.2.3|m.19237	35
CHOYP_LOC656899.1.1|m.15417	35
CHOYP_LOC100368022.1.1|m.55588	35
CHOYP_ACSA.1.1|m.61294	35
CHOYP_BRAFLDRAFT_117858.2.3|m.48274	35
CHOYP_SELD.1.2|m.8600	35
K1C10_HUMAN	35
CHOYP_BRAFLDRAFT_90332.3.4|m.18933	35
CHOYP_FASN.3.4|m.60278	35
CHOYP_contig_013738|m.15666	35
CHOYP_IDHC.1.1|m.7041	34
CHOYP_LOC100367353.1.1|m.32092	34
CHOYP_LOC100371236.1.1|m.62865	34
CHOYP_LOC100893889.2.2|m.64935	34
CHOYP_ISCW_ISCW008219.1.2|m.46822	34
CHOYP_ARF2.1.3|m.10738	34
CHOYP_GBLP.6.7|m.57427	34
CHOYP_LOC100372340.1.3|m.9116	34
CHOYP_IARS.1.1|m.27559	34
CHOYP_CALM.45.50|m.57163	34
CHOYP_LOC100703423.1.1|m.941	34
CHOYP_TEKT3.1.1|m.37281	34
CHOYP_SYCC.1.1|m.11415	34
CHOYP_USO1.1.11|m.6354	34
CHOYP_RN45S.4.5|m.43162	34
CHOYP_CAOG_01521.1.1|m.28103	34
CHOYP_LOC100907708.1.1|m.16095	34
CHOYP_CPNE8.2.2|m.58380	34
CHOYP_PRS7.1.1|m.31825	34
CHOYP_NFRKB.1.1|m.18028	34
CHOYP_LOC100372582.1.2|m.8558	34
CHOYP_NEMVEDRAFT_V1G180651.1.2|m.2808	34
CHOYP_LOC100533283.1.1|m.54357	34
CHOYP_LOC100369657.2.2|m.45309	34
CHOYP_TITIN.6.19|m.31591	34
CHOYP_LOC100114171.1.1|m.50280	33
CHOYP_BTKL.1.1|m.55270	33
CHOYP_ALF.1.3|m.25601	33
CHOYP_LOC100366799.1.2|m.37253	33
CHOYP_SMP_087250.2.2|m.25167	33
CHOYP_BRAFLDRAFT_127105.1.1|m.21922	33
CHOYP_LOC100372942.1.1|m.31119	33
CHOYP_SODM.1.2|m.45531	33
